,Control,Nombre,Apellido,Apellidos ,Caificacion
58,2117V0058,Ilse,De la cruz,Pedro  Matias,75
59,2117V0059,Ilse,De la cruz,Pedro  Medellin,87
60,2117V0060,Ilse,De la cruz,Said  Ontiveros,86
61,2117V0061,Ilse,De la cruz,Emilio  Herrera,0
62,2117V0062,Ilse,De la cruz,Arturo  Matias,71
63,2117V0063,Ilse,De la cruz,Said  Medellin,97
64,2117V0064,Ilse,De la cruz,Juan  Vite,88
65,2117V0065,Ilse,De la cruz,Emilio  Matias,90
66,2117V0066,Ilse,De la cruz,Said  Ontiveros,29
67,2117V0067,Ilse,De la cruz,Emilio  Martinez ,35
68,2117V0068,Ilse,De la cruz,Emilio  Vte,34
69,2117V0069,Ilse,De la cruz,Pedro  Medellin,12
70,2117V0070,Ilse,De la cruz,Abelardo  Matias,69
71,2117V0071,Ilse,De la cruz,Abelardo  Martinez ,39
72,2117V0072,Ilse,De la cruz,Pedro  Herrera,93
73,2117V0073,Ilse,De la cruz,Uriel  Vite,64
74,2117V0074,Ilse,De la cruz,Miguel  Vte,22
75,2117V0075,Ilse,De la cruz,Arturo  Herrera,14
76,2117V0076,Ilse,De la cruz,Miguel  Sanchez,42
77,2117V0077,Ilse,De la cruz,Laura  De la cruz,17
78,2117V0078,Ilse,De la cruz,Ilse  Martinez ,87
79,2117V0079,Ilse,De la cruz,Miguel  De la cruz,66
80,2117V0080,Ilse,De la cruz,Abelardo  Martinez ,48
81,2117V0081,Ilse,De la cruz,Miguel  Martinez ,69
82,2117V0082,Ilse,De la cruz,Said  Sanchez,92
83,2117V0083,Ilse,De la cruz,Flor  Matias,2
84,2117V0084,Ilse,De la cruz,Arturo  Ontiveros,54
85,2117V0085,Ilse,De la cruz,Flor  Matias,2
86,2117V0086,Ilse,De la cruz,Abelardo  Herrera,63
87,2117V0087,Ilse,De la cruz,Pedro  Camacho,15
88,2117V0088,Ilse,De la cruz,Ilse  Ontiveros,0
89,2117V0089,Ilse,De la cruz,Laura  Medellin,89
90,2117V0090,Ilse,De la cruz,Uriel  De la cruz,59
91,2117V0091,Ilse,De la cruz,Arturo  De la cruz,89
92,2117V0092,Ilse,De la cruz,Flor  Medellin,14
93,2117V0093,Ilse,De la cruz,Pedro  De la cruz,10
94,2117V0094,Ilse,De la cruz,Emilio  Martinez ,99
95,2117V0095,Ilse,De la cruz,Laura  Martinez ,67
96,2117V0096,Ilse,De la cruz,Uriel  Martinez ,49
97,2117V0097,Ilse,De la cruz,Ilse  Medellin,100
98,2117V0098,Ilse,De la cruz,Arturo  Vite,21
99,2117V0099,Ilse,De la cruz,Uriel  Matias,80
100,2117V0100,Ilse,De la cruz,Uriel  Matias,68
101,2117V0101,Ilse,De la cruz,Juan  Herrera,81
102,2117V0102,Ilse,De la cruz,Arturo  Vte,89
103,2117V0103,Ilse,De la cruz,Miguel  Vite,76
104,2117V0104,Ilse,De la cruz,Abelardo  Vte,84
105,2117V0105,Ilse,De la cruz,Laura  Matias,87
106,2117V0106,Ilse,De la cruz,Said  Vite,0
107,2117V0107,Ilse,De la cruz,Said  De la cruz,7
108,2117V0108,Ilse,De la cruz,Emilio  Camacho,62
109,2117V0109,Ilse,De la cruz,Arturo  Medellin,81
110,2117V0110,Ilse,De la cruz,Emilio  Matias,16
111,2117V0111,Ilse,De la cruz,Miguel  Ontiveros,13
112,2117V0112,Ilse,De la cruz,Emilio  Medellin,67
113,2117V0113,Ilse,De la cruz,Uriel  Medellin,36
114,2117V0114,Ilse,De la cruz,Miguel  De la cruz,90
115,2117V0115,Ilse,De la cruz,Uriel  Medellin,47
116,2117V0116,Ilse,De la cruz,Abelardo  De la cruz,41
117,2117V0117,Ilse,De la cruz,Laura  Martinez ,72
118,2117V0118,Ilse,De la cruz,Emilio  Herrera,35
119,2117V0119,Ilse,De la cruz,Pedro  Matias,7
120,2117V0120,Ilse,De la cruz,Uriel  De la cruz,23
121,2117V0121,Ilse,De la cruz,Abelardo  Martinez ,32
122,2117V0122,Ilse,De la cruz,Abelardo  Medellin,3
123,2117V0123,Ilse,De la cruz,Miguel  Ontiveros,67
124,2117V0124,Ilse,De la cruz,Arturo  Vite,40
125,2117V0125,Ilse,De la cruz,Arturo  Martinez ,58
126,2117V0126,Ilse,De la cruz,Pedro  Sanchez,33
127,2117V0127,Ilse,De la cruz,Ilse  Ontiveros,4
128,2117V0128,Ilse,De la cruz,Abelardo  Ontiveros,70
129,2117V0129,Ilse,De la cruz,Arturo  De la cruz,88
130,2117V0130,Ilse,De la cruz,Pedro  Sanchez,45
131,2117V0131,Ilse,De la cruz,Abelardo  Herrera,15
132,2117V0132,Ilse,De la cruz,Juan  Martinez ,10
133,2117V0133,Ilse,De la cruz,Emilio  De la cruz,79
134,2117V0134,Ilse,De la cruz,Said  Matias,28
135,2117V0135,Ilse,De la cruz,Abelardo  Martinez ,99
136,2117V0136,Ilse,De la cruz,Pedro  Sanchez,63
137,2117V0137,Ilse,De la cruz,Miguel  Medellin,22
138,2117V0138,Ilse,De la cruz,Flor  Medellin,61
139,2117V0139,Ilse,De la cruz,Said  Medellin,52
140,2117V0140,Ilse,De la cruz,Laura  Camacho,12
141,2117V0141,Ilse,De la cruz,Flor  Camacho,82
142,2117V0142,Ilse,De la cruz,Ilse  Medellin,66
143,2117V0143,Ilse,De la cruz,Laura  Camacho,7
144,2117V0144,Ilse,De la cruz,Ilse  Ontiveros,14
145,2117V0145,Ilse,De la cruz,Arturo  Vite,76
146,2117V0146,Ilse,De la cruz,Ilse  Ontiveros,40
147,2117V0147,Ilse,De la cruz,Juan  Martinez ,88
148,2117V0148,Ilse,De la cruz,Laura  Martinez ,15
149,2117V0149,Ilse,De la cruz,Pedro  De la cruz,49
150,2117V0150,Ilse,De la cruz,Abelardo  De la cruz,81
151,2117V0151,Ilse,De la cruz,Abelardo  Herrera,50
152,2117V0152,Ilse,De la cruz,Laura  Herrera,54
153,2117V0153,Ilse,De la cruz,Flor  Camacho,2
154,2117V0154,Ilse,De la cruz,Said  Sanchez,85
155,2117V0155,Ilse,De la cruz,Flor  De la cruz,81
156,2117V0156,Ilse,De la cruz,Uriel  Martinez ,14
157,2117V0157,Ilse,De la cruz,Abelardo  Martinez ,100
158,2117V0158,Ilse,De la cruz,Juan  Martinez ,52
159,2117V0159,Ilse,De la cruz,Arturo  Camacho,94
160,2117V0160,Ilse,De la cruz,Miguel  Ontiveros,18
161,2117V0161,Ilse,De la cruz,Juan  Herrera,11
162,2117V0162,Ilse,De la cruz,Miguel  Vite,8
163,2117V0163,Ilse,De la cruz,Ilse  Vite,34
164,2117V0164,Ilse,De la cruz,Arturo  Martinez ,30
165,2117V0165,Ilse,De la cruz,Abelardo  Ontiveros,69
166,2117V0166,Ilse,De la cruz,Flor  Vte,57
167,2117V0167,Ilse,De la cruz,Said  Camacho,38
168,2117V0168,Ilse,De la cruz,Flor  Vte,4
169,2117V0169,Ilse,De la cruz,Ilse  Martinez ,92
170,2117V0170,Ilse,De la cruz,Juan  De la cruz,54
171,2117V0171,Ilse,De la cruz,Abelardo  Ontiveros,16
172,2117V0172,Ilse,De la cruz,Uriel  Matias,82
173,2117V0173,Ilse,De la cruz,Emilio  Sanchez,0
174,2117V0174,Ilse,De la cruz,Emilio  Ontiveros,81
175,2117V0175,Ilse,De la cruz,Pedro  Vte,80
176,2117V0176,Ilse,De la cruz,Laura  Matias,55
177,2117V0177,Ilse,De la cruz,Abelardo  Herrera,28
178,2117V0178,Ilse,De la cruz,Ilse  Matias,15
179,2117V0179,Ilse,De la cruz,Abelardo  Vite,53
180,2117V0180,Ilse,De la cruz,Arturo  Martinez ,77
181,2117V0181,Ilse,De la cruz,Uriel  Vte,74
182,2117V0182,Ilse,De la cruz,Miguel  De la cruz,28
183,2117V0183,Ilse,De la cruz,Said  Vite,65
184,2117V0184,Ilse,De la cruz,Flor  Medellin,5
185,2117V0185,Ilse,De la cruz,Flor  Martinez ,85
186,2117V0186,Ilse,De la cruz,Uriel  Ontiveros,96
187,2117V0187,Ilse,De la cruz,Flor  Martinez ,53
188,2117V0188,Ilse,De la cruz,Ilse  Vte,15
189,2117V0189,Ilse,De la cruz,Flor  Matias,16
190,2117V0190,Ilse,De la cruz,Miguel  Martinez ,79
191,2117V0191,Ilse,De la cruz,Uriel  Herrera,42
192,2117V0192,Ilse,De la cruz,Juan  De la cruz,51
193,2117V0193,Ilse,De la cruz,Pedro  Herrera,74
194,2117V0194,Ilse,De la cruz,Emilio  Martinez ,88
195,2117V0195,Ilse,De la cruz,Miguel  De la cruz,86
196,2117V0196,Ilse,De la cruz,Emilio  Martinez ,58
197,2117V0197,Ilse,De la cruz,Flor  Medellin,27
198,2117V0198,Ilse,De la cruz,Abelardo  Ontiveros,70
199,2117V0199,Ilse,De la cruz,Said  Camacho,73
200,2117V0200,Ilse,De la cruz,Flor  Sanchez,13
201,2117V0201,Ilse,De la cruz,Uriel  Vite,89
202,2117V0202,Ilse,De la cruz,Ilse  Martinez ,34
203,2117V0203,Ilse,De la cruz,Arturo  Vte,77
204,2117V0204,Ilse,De la cruz,Ilse  Vte,0
205,2117V0205,Ilse,De la cruz,Said  De la cruz,60
206,2117V0206,Ilse,De la cruz,Said  Martinez ,89
207,2117V0207,Ilse,De la cruz,Emilio  Martinez ,6
208,2117V0208,Ilse,De la cruz,Uriel  Sanchez,6
209,2117V0209,Ilse,De la cruz,Abelardo  Herrera,28
210,2117V0210,Ilse,De la cruz,Juan  Matias,44
211,2117V0211,Ilse,De la cruz,Ilse  Herrera,51
212,2117V0212,Ilse,De la cruz,Juan  Matias,7
213,2117V0213,Ilse,De la cruz,Ilse  Ontiveros,66
214,2117V0214,Ilse,De la cruz,Uriel  Vite,9
215,2117V0215,Ilse,De la cruz,Flor  Matias,20
216,2117V0216,Ilse,De la cruz,Ilse  Medellin,22
217,2117V0217,Ilse,De la cruz,Said  De la cruz,17
218,2117V0218,Ilse,De la cruz,Emilio  Martinez ,78
219,2117V0219,Ilse,De la cruz,Said  Medellin,59
220,2117V0220,Ilse,De la cruz,Abelardo  Herrera,28
221,2117V0221,Ilse,De la cruz,Emilio  Medellin,34
222,2117V0222,Ilse,De la cruz,Pedro  Martinez ,100
223,2117V0223,Ilse,De la cruz,Miguel  De la cruz,95
224,2117V0224,Ilse,De la cruz,Said  Matias,8
225,2117V0225,Ilse,De la cruz,Uriel  Vite,62
226,2117V0226,Ilse,De la cruz,Uriel  Vte,71
227,2117V0227,Ilse,De la cruz,Uriel  De la cruz,71
228,2117V0228,Ilse,De la cruz,Arturo  Herrera,47
229,2117V0229,Ilse,De la cruz,Laura  De la cruz,32
230,2117V0230,Ilse,De la cruz,Uriel  De la cruz,83
231,2117V0231,Ilse,De la cruz,Pedro  Sanchez,3
232,2117V0232,Ilse,De la cruz,Emilio  Vte,71
233,2117V0233,Ilse,De la cruz,Pedro  Medellin,23
234,2117V0234,Ilse,De la cruz,Ilse  Ontiveros,7
235,2117V0235,Ilse,De la cruz,Flor  Camacho,73
236,2117V0236,Ilse,De la cruz,Flor  Herrera,53
237,2117V0237,Ilse,De la cruz,Said  Vte,42
238,2117V0238,Ilse,De la cruz,Said  Camacho,76
239,2117V0239,Ilse,De la cruz,Flor  Martinez ,50
240,2117V0240,Ilse,De la cruz,Said  Vite,9
241,2117V0241,Ilse,De la cruz,Said  Martinez ,74
242,2117V0242,Ilse,De la cruz,Laura  Camacho,15
243,2117V0243,Ilse,De la cruz,Ilse  Martinez ,74
244,2117V0244,Ilse,De la cruz,Juan  De la cruz,15
245,2117V0245,Ilse,De la cruz,Laura  De la cruz,18
246,2117V0246,Ilse,De la cruz,Arturo  Medellin,25
247,2117V0247,Ilse,De la cruz,Ilse  Camacho,65
248,2117V0248,Ilse,De la cruz,Emilio  Ontiveros,26
249,2117V0249,Ilse,De la cruz,Flor  Vite,99
250,2117V0250,Ilse,De la cruz,Laura  Matias,76
251,2117V0251,Ilse,De la cruz,Said  Martinez ,69
252,2117V0252,Ilse,De la cruz,Laura  De la cruz,14
253,2117V0253,Ilse,De la cruz,Said  Herrera,51
254,2117V0254,Ilse,De la cruz,Flor  Matias,65
255,2117V0255,Ilse,De la cruz,Arturo  Camacho,43
256,2117V0256,Ilse,De la cruz,Uriel  Martinez ,43
257,2117V0257,Ilse,De la cruz,Emilio  Martinez ,65
258,2117V0258,Ilse,De la cruz,Arturo  Camacho,18
259,2117V0259,Ilse,De la cruz,Ilse  Matias,41
260,2117V0260,Ilse,De la cruz,Laura  Sanchez,39
261,2117V0261,Ilse,De la cruz,Pedro  Ontiveros,87
262,2117V0262,Ilse,De la cruz,Juan  Medellin,14
263,2117V0263,Ilse,De la cruz,Ilse  Vite,23
264,2117V0264,Ilse,De la cruz,Arturo  Martinez ,15
265,2117V0265,Ilse,De la cruz,Flor  De la cruz,38
266,2117V0266,Ilse,De la cruz,Uriel  Vite,9
267,2117V0267,Ilse,De la cruz,Said  Martinez ,38
268,2117V0268,Ilse,De la cruz,Emilio  Matias,22
269,2117V0269,Ilse,De la cruz,Ilse  Vite,32
270,2117V0270,Ilse,De la cruz,Juan  De la cruz,63
271,2117V0271,Ilse,De la cruz,Miguel  Martinez ,13
272,2117V0272,Ilse,De la cruz,Pedro  Martinez ,100
273,2117V0273,Ilse,De la cruz,Said  Martinez ,3
274,2117V0274,Ilse,De la cruz,Miguel  Sanchez,72
275,2117V0275,Ilse,De la cruz,Flor  Martinez ,46
276,2117V0276,Ilse,De la cruz,Said  Herrera,94
277,2117V0277,Ilse,De la cruz,Ilse  Martinez ,4
278,2117V0278,Ilse,De la cruz,Ilse  Sanchez,38
279,2117V0279,Ilse,De la cruz,Uriel  Martinez ,80
280,2117V0280,Ilse,De la cruz,Pedro  Herrera,85
281,2117V0281,Ilse,De la cruz,Laura  Camacho,16
282,2117V0282,Ilse,De la cruz,Flor  Ontiveros,52
283,2117V0283,Ilse,De la cruz,Said  Vte,52
284,2117V0284,Ilse,De la cruz,Arturo  Matias,2
285,2117V0285,Ilse,De la cruz,Arturo  Vte,69
286,2117V0286,Ilse,De la cruz,Ilse  Vite,51
287,2117V0287,Ilse,De la cruz,Pedro  Camacho,46
288,2117V0288,Ilse,De la cruz,Emilio  Vte,78
289,2117V0289,Ilse,De la cruz,Uriel  Vite,23
290,2117V0290,Ilse,De la cruz,Abelardo  Sanchez,11
291,2117V0291,Ilse,De la cruz,Laura  Herrera,7
292,2117V0292,Ilse,De la cruz,Ilse  Ontiveros,6
293,2117V0293,Ilse,De la cruz,Ilse  Matias,24
294,2117V0294,Ilse,De la cruz,Uriel  Camacho,65
295,2117V0295,Ilse,De la cruz,Said  Camacho,15
296,2117V0296,Ilse,De la cruz,Uriel  Medellin,90
297,2117V0297,Ilse,De la cruz,Pedro  De la cruz,0
298,2117V0298,Ilse,De la cruz,Said  Camacho,8
299,2117V0299,Ilse,De la cruz,Abelardo  Camacho,0
300,2117V0300,Ilse,De la cruz,Said  Ontiveros,43
301,2117V0301,Ilse,De la cruz,Juan  Vte,52
302,2117V0302,Ilse,De la cruz,Arturo  Martinez ,76
303,2117V0303,Ilse,De la cruz,Said  Martinez ,43
304,2117V0304,Ilse,De la cruz,Flor  Martinez ,81
305,2117V0305,Ilse,De la cruz,Pedro  Matias,59
306,2117V0306,Ilse,De la cruz,Abelardo  Matias,94
307,2117V0307,Ilse,De la cruz,Said  Martinez ,27
308,2117V0308,Ilse,De la cruz,Abelardo  Herrera,92
309,2117V0309,Ilse,De la cruz,Uriel  De la cruz,37
310,2117V0310,Ilse,De la cruz,Miguel  Ontiveros,67
311,2117V0311,Ilse,De la cruz,Said  Martinez ,7
312,2117V0312,Ilse,De la cruz,Miguel  De la cruz,53
313,2117V0313,Ilse,De la cruz,Laura  Martinez ,62
314,2117V0314,Ilse,De la cruz,Laura  Vite,50
315,2117V0315,Ilse,De la cruz,Ilse  Herrera,40
316,2117V0316,Ilse,De la cruz,Pedro  Vite,9
317,2117V0317,Ilse,De la cruz,Laura  Vite,96
318,2117V0318,Ilse,De la cruz,Emilio  Ontiveros,34
319,2117V0319,Ilse,De la cruz,Emilio  Camacho,95
320,2117V0320,Ilse,De la cruz,Juan  Vte,96
321,2117V0321,Ilse,De la cruz,Uriel  Ontiveros,72
322,2117V0322,Ilse,De la cruz,Said  Martinez ,95
323,2117V0323,Ilse,De la cruz,Arturo  Vte,78
324,2117V0324,Ilse,De la cruz,Abelardo  Herrera,49
325,2117V0325,Ilse,De la cruz,Ilse  Herrera,64
326,2117V0326,Ilse,De la cruz,Pedro  Vte,73
327,2117V0327,Ilse,De la cruz,Emilio  Martinez ,61
328,2117V0328,Ilse,De la cruz,Pedro  Herrera,34
329,2117V0329,Ilse,De la cruz,Ilse  Medellin,87
330,2117V0330,Ilse,De la cruz,Arturo  De la cruz,47
331,2117V0331,Ilse,De la cruz,Miguel  Herrera,50
332,2117V0332,Ilse,De la cruz,Ilse  De la cruz,15
333,2117V0333,Ilse,De la cruz,Abelardo  Martinez ,4
334,2117V0334,Ilse,De la cruz,Juan  Vte,22
335,2117V0335,Ilse,De la cruz,Flor  Martinez ,99
336,2117V0336,Ilse,De la cruz,Laura  Vte,74
337,2117V0337,Ilse,De la cruz,Uriel  Matias,92
338,2117V0338,Ilse,De la cruz,Flor  Martinez ,12
339,2117V0339,Ilse,De la cruz,Ilse  Vte,21
340,2117V0340,Ilse,De la cruz,Abelardo  Ontiveros,82
341,2117V0341,Ilse,De la cruz,Juan  Camacho,66
342,2117V0342,Ilse,De la cruz,Miguel  Vite,99
343,2117V0343,Ilse,De la cruz,Ilse  Vite,69
344,2117V0344,Ilse,De la cruz,Miguel  Ontiveros,86
345,2117V0345,Ilse,De la cruz,Ilse  De la cruz,76
346,2117V0346,Ilse,De la cruz,Ilse  De la cruz,83
347,2117V0347,Ilse,De la cruz,Flor  Matias,94
348,2117V0348,Ilse,De la cruz,Abelardo  Vte,73
349,2117V0349,Ilse,De la cruz,Uriel  Sanchez,92
350,2117V0350,Ilse,De la cruz,Emilio  De la cruz,68
351,2117V0351,Ilse,De la cruz,Emilio  Martinez ,49
352,2117V0352,Ilse,De la cruz,Laura  Sanchez,35
353,2117V0353,Ilse,De la cruz,Flor  De la cruz,85
354,2117V0354,Ilse,De la cruz,Flor  Medellin,60
355,2117V0355,Ilse,De la cruz,Emilio  Vite,9
356,2117V0356,Ilse,De la cruz,Abelardo  Ontiveros,70
357,2117V0357,Ilse,De la cruz,Arturo  Vte,39
358,2117V0358,Ilse,De la cruz,Juan  Medellin,47
359,2117V0359,Ilse,De la cruz,Flor  De la cruz,21
360,2117V0360,Ilse,De la cruz,Emilio  Camacho,57
361,2117V0361,Ilse,De la cruz,Emilio  Vite,100
362,2117V0362,Ilse,De la cruz,Miguel  Medellin,67
363,2117V0363,Ilse,De la cruz,Uriel  Vite,79
364,2117V0364,Ilse,De la cruz,Arturo  De la cruz,87
365,2117V0365,Ilse,De la cruz,Pedro  Sanchez,41
366,2117V0366,Ilse,De la cruz,Flor  De la cruz,10
367,2117V0367,Ilse,De la cruz,Juan  Herrera,5
368,2117V0368,Ilse,De la cruz,Laura  De la cruz,65
369,2117V0369,Ilse,De la cruz,Pedro  Martinez ,53
370,2117V0370,Ilse,De la cruz,Laura  Martinez ,74
371,2117V0371,Ilse,De la cruz,Flor  Camacho,92
372,2117V0372,Ilse,De la cruz,Laura  Medellin,54
373,2117V0373,Ilse,De la cruz,Laura  Martinez ,51
374,2117V0374,Ilse,De la cruz,Flor  Martinez ,79
375,2117V0375,Ilse,De la cruz,Emilio  Sanchez,23
376,2117V0376,Ilse,De la cruz,Emilio  Vte,6
377,2117V0377,Ilse,De la cruz,Ilse  Camacho,92
378,2117V0378,Ilse,De la cruz,Juan  Martinez ,11
379,2117V0379,Ilse,De la cruz,Abelardo  Herrera,85
380,2117V0380,Ilse,De la cruz,Juan  Camacho,33
381,2117V0381,Ilse,De la cruz,Laura  Camacho,8
382,2117V0382,Ilse,De la cruz,Juan  Martinez ,7
383,2117V0383,Ilse,De la cruz,Pedro  Ontiveros,40
384,2117V0384,Ilse,De la cruz,Said  De la cruz,3
385,2117V0385,Ilse,De la cruz,Laura  Vite,6
386,2117V0386,Ilse,De la cruz,Laura  Ontiveros,57
387,2117V0387,Ilse,De la cruz,Ilse  Vite,56
388,2117V0388,Ilse,De la cruz,Juan  Sanchez,7
389,2117V0389,Ilse,De la cruz,Said  Vte,32
390,2117V0390,Ilse,De la cruz,Miguel  Camacho,34
391,2117V0391,Ilse,De la cruz,Juan  Ontiveros,60
392,2117V0392,Ilse,De la cruz,Arturo  Vte,2
393,2117V0393,Ilse,De la cruz,Uriel  Ontiveros,89
394,2117V0394,Ilse,De la cruz,Juan  Sanchez,26
395,2117V0395,Ilse,De la cruz,Flor  Martinez ,54
396,2117V0396,Ilse,De la cruz,Juan  Matias,97
397,2117V0397,Ilse,De la cruz,Arturo  Camacho,6
398,2117V0398,Ilse,De la cruz,Ilse  Martinez ,42
399,2117V0399,Ilse,De la cruz,Laura  Ontiveros,94
400,2117V0400,Ilse,De la cruz,Miguel  Vite,58
401,2117V0401,Ilse,De la cruz,Said  Herrera,47
402,2117V0402,Ilse,De la cruz,Arturo  Matias,23
403,2117V0403,Ilse,De la cruz,Uriel  Vite,54
404,2117V0404,Ilse,De la cruz,Uriel  Ontiveros,89
405,2117V0405,Ilse,De la cruz,Ilse  Vte,40
406,2117V0406,Ilse,De la cruz,Pedro  Martinez ,100
407,2117V0407,Ilse,De la cruz,Ilse  Vte,80
408,2117V0408,Ilse,De la cruz,Laura  Herrera,68
409,2117V0409,Ilse,De la cruz,Abelardo  Vte,94
410,2117V0410,Ilse,De la cruz,Miguel  Martinez ,79
411,2117V0411,Ilse,De la cruz,Pedro  Martinez ,72
412,2117V0412,Ilse,De la cruz,Laura  Martinez ,78
413,2117V0413,Ilse,De la cruz,Laura  Martinez ,29
414,2117V0414,Ilse,De la cruz,Uriel  Martinez ,23
415,2117V0415,Ilse,De la cruz,Emilio  De la cruz,37
416,2117V0416,Ilse,De la cruz,Laura  Herrera,46
417,2117V0417,Ilse,De la cruz,Juan  Sanchez,78
418,2117V0418,Ilse,De la cruz,Emilio  Matias,23
419,2117V0419,Ilse,De la cruz,Pedro  Medellin,49
420,2117V0420,Ilse,De la cruz,Laura  Medellin,0
421,2117V0421,Ilse,De la cruz,Ilse  Sanchez,64
422,2117V0422,Ilse,De la cruz,Emilio  Sanchez,38
423,2117V0423,Ilse,De la cruz,Ilse  Ontiveros,20
424,2117V0424,Ilse,De la cruz,Juan  Ontiveros,2
425,2117V0425,Ilse,De la cruz,Emilio  Sanchez,47
426,2117V0426,Ilse,De la cruz,Pedro  Martinez ,7
427,2117V0427,Ilse,De la cruz,Juan  Medellin,82
428,2117V0428,Ilse,De la cruz,Uriel  Martinez ,58
429,2117V0429,Ilse,De la cruz,Flor  Ontiveros,21
430,2117V0430,Ilse,De la cruz,Flor  Vte,79
431,2117V0431,Ilse,De la cruz,Emilio  Martinez ,25
432,2117V0432,Ilse,De la cruz,Miguel  Sanchez,38
433,2117V0433,Ilse,De la cruz,Laura  Ontiveros,12
434,2117V0434,Ilse,De la cruz,Said  Herrera,38
435,2117V0435,Ilse,De la cruz,Ilse  Martinez ,89
436,2117V0436,Ilse,De la cruz,Laura  Vte,70
437,2117V0437,Ilse,De la cruz,Pedro  De la cruz,91
438,2117V0438,Ilse,De la cruz,Miguel  Herrera,97
439,2117V0439,Ilse,De la cruz,Arturo  Herrera,30
440,2117V0440,Ilse,De la cruz,Abelardo  Ontiveros,87
441,2117V0441,Ilse,De la cruz,Emilio  Camacho,90
442,2117V0442,Ilse,De la cruz,Laura  Medellin,52
443,2117V0443,Ilse,De la cruz,Laura  Ontiveros,9
444,2117V0444,Ilse,De la cruz,Abelardo  Medellin,68
445,2117V0445,Ilse,De la cruz,Emilio  Martinez ,62
446,2117V0446,Ilse,De la cruz,Emilio  Martinez ,84
447,2117V0447,Ilse,De la cruz,Arturo  Vte,95
448,2117V0448,Ilse,De la cruz,Pedro  Matias,86
449,2117V0449,Ilse,De la cruz,Emilio  Camacho,41
450,2117V0450,Ilse,De la cruz,Arturo  Ontiveros,55
451,2117V0451,Ilse,De la cruz,Laura  Ontiveros,54
